ILLIQ,PE,PB,PS,CirculatedMarketValue,ChangeRatio,Liquidility
0.004812,17.816987,4.286922,1.696344,41746826729.7,-0.00304,5.4e-05
0.013928,18.142765,4.365307,1.727361,42510155733.9,0.01828,5.8e-05
0.005805,18.290639,4.400887,1.74144,42842757272.98,0.00855,5.8e-05
0.005771,18.414696,4.430736,1.753252,43133339772.5,0.00678,5.8e-05
0.002025,18.352668,4.415811,1.747346,42988048522.74,-0.00337,3.9e-05
0.003706,18.228611,4.385962,1.735535,42697466023.22,-0.00676,3.8e-05
0.006711,18.569767,4.468047,1.768016,43496567896.9,0.01872,4.6e-05
0.000767,18.585275,4.471778,1.769492,43532890709.34,0.00084,3.8e-05
0.00709,18.414696,4.430736,1.753252,43133339772.5,-0.00918,4.3e-05
0.008468,18.55426,4.464316,1.76654,43460245084.46,0.00758,4.9e-05
0.000453,18.562014,4.466182,1.767278,43478406490.68,0.00042,4.4e-05
0.003583,18.453464,4.440064,1.756943,43224146803.6,-0.00585,4.3e-05
0.001934,18.492232,4.449392,1.760634,78681712716.9,0.0021,4.1e-05
0.00357,18.608535,4.477375,1.771707,79176566256,0.00629,4e-05
0.002746,18.66281,4.490434,1.776874,79407497907.58,0.00292,3.9e-05
0.006578,18.910924,4.550132,1.800497,80463185457.66,0.01329,4.1e-05
0.007905,17.716876,4.262834,1.686813,75382689122.9,-0.06314,4.4e-05
0.004867,17.437748,4.195674,1.660237,74195040629.06,-0.01575,4.4e-05
0.006795,17.755644,4.272162,1.690504,75547640302.6,0.01823,4.6e-05
0.002093,17.678109,4.253506,1.683122,75217737943.2,-0.00437,2.1e-05
0.003102,17.554052,4.223657,1.67131,74689894168.16,-0.00702,2.6e-05
0.002952,17.437748,4.195674,1.660237,74195040629.06,-0.00663,2.7e-05
0.001824,17.383473,4.182615,1.65507,73964108977.48,-0.00311,2.5e-05
0.004712,17.251663,4.1509,1.64252,73403274966.5,-0.00758,2.9e-05
0.006155,17.445502,4.197539,1.660975,74228030865,0.01124,3.5e-05
0.006521,17.274924,4.156497,1.644735,73502245674.32,-0.00978,3.9e-05
0.006551,17.437748,4.195674,1.660237,74195040629.06,0.00943,4.2e-05
0.000863,17.461009,4.20127,1.662452,74294011336.88,0.00133,3.9e-05
0.004035,17.251663,4.1509,1.64252,73403274966.5,-0.01199,3.9e-05
0,17.251663,4.1509,1.64252,73403274966.5,0,3.5e-05
0.001348,17.290431,4.160228,1.646211,73568226146.2,0.00225,3.3e-05
0.000324,17.298184,4.162093,1.646949,73601216382.14,0.00045,3.1e-05
0.003428,17.127606,4.121051,1.630709,72875431191.46,-0.00986,3.1e-05
0.002224,17.011303,4.093067,1.619635,72380577652.36,-0.00679,3.1e-05
